source,target,exposure
GM,5A,1.0
LS,5A,8.07
IR,5A,0.07
BY,5A,1076.456
SI,5A,709.375
KW,5A,179.247
1C,5A,145850.915
KM,5A,0.002
IQ,5A,-0.759
BT,5A,0.752
SM,5A,16.278
NG,5A,398.003
LA,5A,4.799
2Z,5A,2400.217
FK,5A,0.003
IN,5A,465.426
BS,5A,504.513
2H,5A,8.983
ES,GR,3962.08
NE,5A,196.0
KZ,5A,96.373
GN,5A,1.0
CZ,GR,25.249
MX,5A,4259.992
KN,5A,3.757
GG,5A,2.0
ZM,5A,18.188
HK,5A,81725.105
BG,5A,22.641
SC,5A,82.032
KH,5A,11.997
GE,5A,21.0
ZA,5A,1560.824
GW,5A,24.283
BF,5A,67.468
GT,5A,0.011
BE,5A,1020.681
SG,5A,3635.656
MZ,5A,585.351
KR,5A,67.596
CY,GR,4891.88
GR,5A,0.169
BD,5A,2142.471
SE,5A,12270.794
MY,5A,0.785
GH,5A,6.274
5J,5A,2588716.625
5J,ZA,5.0
DK,GR,29.889
RU,5A,410.708
MT,5A,318.07
JP,5A,160.882
GA,5A,4.0
HU,5A,11.77
BM,5A,3118.869
RS,5A,648.069
MR,5A,71.002
JO,5A,50.973
FR,5A,512486.718
5J,ZA,360629.0
KI,5A,0.009
HT,5A,-0.994
BJ,5A,246.918
3C,5A,282.969
SA,5A,42.742
MV,5A,55.0
KG,5A,1.525
2R,5A,-5.0
DE,GR,6874.767
HR,5A,-2.842
BI,5A,40.611
5J,GR,166534.773
RW,5A,21.028
MU,5A,556.0
KE,5A,78.933
GB,5A,648038.806
ZW,5A,3.0
HN,5A,0.019
BH,5A,282.314
5J,GR,70773.352
KY,5A,20127.095
MM,5A,10.059
IT,5A,3391.719
5J,GR,237308.125
PU,5A,1.0
ML,5A,175.414
IS,5A,48.363
FI,5A,71505.012
KW,5A,17.725
CR,5A,83.61
2W,5A,-0.061
CL,GR,45.837
SB,5A,3.896
CN,5A,75696.768
RO,5A,2934.111
MO,5A,0.056
JM,5A,4.258
KR,5A,334.194
CO,5A,971.67
CM,5A,641.815
QA,5A,11567.212
MN,5A,104.655
JE,5A,137.419
PL,5A,3212.367
MG,5A,226.0
IN,5A,65.901
EG,5A,121.264
LC,5A,1.0
CY,5A,152.502
4W,5A,595.443
PK,5A,1.0
ME,5A,305.982
IM,5A,353.577
EE,5A,1415.355
LB,5A,0.458
CW,5A,44.412
4U,5A,-7.002
PT,5A,11414.693
MK,5A,177.454
IR,5A,35.04
ET,5A,1.0
1C,GR,1657.746
LA,5A,4031.824
CV,5A,22.664
2Z,5A,6956.89
IQ,5A,5.082
ES,5A,104176.147
KZ,5A,185.986
CU,5A,183.565
4T,5A,4351.256
CA,GR,6.866
LY,5A,1.314
ID,5A,105.248
DO,5A,1.0
JO,5A,10.288
CF,5A,1.433
PE,5A,49.807
LV,5A,1883.882
HU,5A,330.619
SS,5A,0.493
JM,5A,43.891
CD,5A,216.656
SO,5A,0.666
JE,5A,172.359
CA,5A,26101.017
PH,5A,28.896
MD,5A,135.97
IL,5A,827.41
IT,5A,25.53
4L,5A,382.204
2N,5A,-0.032
MA,5A,2860.6
IE,5A,1181.802
DZ,5A,39.0
2C,5A,4.28
CH,GR,6.03
NZ,5A,1615.912
HN,5A,14.742
DE,5A,472615.975
KH,5A,1243.452
CL,5A,1196.973
LK,5A,554.923
HK,5A,1013.329
5J,5A,734.569
WF,5A,0.27
KG,5A,97.502
CI,5A,915.875
2R,5A,-0.053
PA,5A,815.189
LU,5A,4585.264
HT,5A,2.131
DK,5A,17081.612
KE,5A,1037.3
CH,5A,4541.833
OM,5A,3.514
LT,5A,2572.061
HR,5A,110.49
DJ,5A,534.964
TL,5A,3.006
BW,5A,87.0
JP,5A,263.931
CG,5A,136.78
2O,5A,0.937
SV,5A,22.0
NZ,5A,104.516
LR,5A,1.0
US,5A,12510.635
MU,5A,50.0
KE,5A,27.939
NP,5A,1.647
LK,5A,2.152
5C,5A,31893.277
UG,5A,616.263
MT,5A,0.003
JP,5A,908.855
PA,5A,128.598
LU,5A,136051.416
UA,5A,10.112
MR,5A,11.0
JO,5A,401.149
OM,5A,53.369
LT,5A,4194.33
SS,5A,157.733
TZ,5A,356.786
MO,5A,1.0
5J,GR,767.456
SB,5A,18.823
VC,5A,4.455
MY,5A,3.407
WS,5A,114.742
SM,5A,10.843
NG,5A,114.195
LA,5A,5.0
2B,5A,143.293
VA,5A,0.813
MX,5A,1.887
5J,GR,195762.41
NE,5A,6.638
KZ,5A,2.007
4T,5A,32181.437
ZA,5A,219.992
ST,5A,30.723
NO,5A,1226.583
LI,5A,1935.421
4Y,5A,14512.555
UZ,5A,779.712
KH,5A,67.106
SR,5A,33.811
NL,5A,17317.175
4W,5A,3287.058
UY,5A,6.469
MV,5A,0.107
SN,5A,4517.837
NI,5A,0.835
LB,5A,2.127
4U,5A,142.577
VE,5A,80.0
SG,5A,222.477
MZ,5A,92.087
KR,5A,2126.111
KM,5A,93.852
TM,5A,1.698
IQ,5A,13.289
VC,5A,9.147
SE,5A,844.163
MY,5A,81.902
TJ,5A,340.26
MG,5A,2.0
IN,5A,3092.439
VN,5A,33.805
SK,5A,9444.725
NC,5A,229.222
KY,5A,5012.775
TH,5A,1089.763
ME,5A,1.0
IM,5A,19.514
VG,5A,1441.182
SI,5A,4714.921
KW,5A,166.529
1W,5A,1.363
TG,5A,230.996
IL,5A,1.933
TW,5A,3997.885
MN,5A,1.0
JE,5A,110.0
1C,GR,1657.746
UY,5A,19.879
SA,5A,1045.826
MV,5A,1.398
TT,5A,232.273
MM,5A,-1.0
IT,5A,16.591
US,5A,226717.072
RW,5A,389.0
MU,5A,156.232
KE,5A,25.485
NR,5A,0.02
TR,5A,1853.703
ML,5A,0.006
5J,GR,88272.168
VA,5A,0.144
SD,5A,10.0
MX,5A,642.671
KN,5A,1.0
5J,GR,284802.034
UZ,5A,7.2
SC,5A,7.0
MW,5A,2.006
KH,5A,2.0
LS,5A,179.722
TN,5A,2.539
TZ,5A,22.0
RO,5A,5174.321
MO,5A,21.61
PE,5A,1.959
TW,5A,205.931
QA,5A,13714.221
MN,5A,0.071
JE,5A,2415.224
PA,5A,-3.0
LU,5A,582.805
RU,5A,100.389
MT,5A,448.796
JP,5A,56580.839
TO,5A,74.791
OM,5A,2.004
LT,5A,-1.0
5J,ID,685.903
5J,ID,585363.935
UA,5A,55.841
RS,5A,1523.192
MR,5A,4.986
JO,5A,34.076
ZW,5A,13.195
NZ,5A,5.467
LR,5A,77.374
TN,5A,0.054
PT,5A,18800.625
MK,5A,5.877
IR,5A,116.708
PK,5A,1.113
5J,5A,97840.946
MH,5A,16.297
IQ,5A,1.991
5J,5A,3010.541
PH,5A,6.521
TT,5A,2.005
MM,5A,4.129
IT,5A,221131.292
4L,5A,4472.378
PG,5A,-0.002
MA,5A,-0.972
TR,5A,3407.873
ML,5A,8.414
PF,5A,0.001
LY,5A,9.0
TG,5A,0.186
PH,5A,1139.088
MD,5A,8.08
IL,5A,106.271
VU,5A,156.069
NE,5A,-1.0
PG,5A,32.467
MA,5A,262.168
IE,5A,69267.799
VN,5A,1192.268
KY,5A,2415.842
5J,ID,584678.032
PL,5A,8451.94
MG,5A,63.032
IN,5A,2037.776
VG,5A,888.726
KW,5A,3630.934
TH,5A,43.248
PK,5A,461.574
ME,5A,35.441
IM,5A,513.301
VE,5A,23.165
MZ,5A,-2.0
KR,5A,312.791
PA,5A,4.34
LU,5A,3715.754
3C,5A,14239.247
ZM,5A,760.426
NP,5A,1.999
LK,5A,51.273
SX,5A,0.053
LT,5A,77.728
HR,5A,2361.008
ZA,5A,1877.408
NO,5A,27.434
LI,5A,11.936
TC,5A,1.541
PF,5A,1052.0
LY,5A,7.511
ID,5A,43.513
NL,5A,70.599
PE,5A,664.807
LV,5A,48.495
HU,5A,8559.417
WS,5A,508.609
NG,5A,12.01
LA,5A,33.125
YE,5A,62.626
LB,5A,13.892
SY,5A,4.145
PA,5A,46.345
BJ,5A,37.905
3C,5A,113981.209
ER,5A,131.046
SC,5A,1.0
SX,5A,8.15
SA,5A,8.354
MV,5A,71.721
TC,5A,12.974
PF,5A,571.0
BN,5A,0.128
RW,5A,-1.0
MU,5A,466.853
SZ,5A,0.959
PE,5A,201.009
BM,5A,1.464
BW,5A,11.148
RU,5A,-0.991
MT,5A,19.495
SR,5A,1.805
NL,5A,209768.45
BE,5A,694.259
SG,5A,3057.921
MZ,5A,4.593
YE,5A,2.0
SN,5A,93.82
BD,5A,110.196
ZW,5A,48.0
SV,5A,7.299
NZ,5A,55.237
BH,5A,5.39
SE,5A,5.51
MY,5A,772.272
5J,PT,789.818
ZM,5A,79.0
BG,5A,18.701
GY,5A,243.283
MX,5A,32.086
ZA,5A,1211.928
ST,5A,5.824
NO,5A,15649.046
BF,5A,4.296
5J,5A,1029645.262
5J,5A,1130496.749
VN,5A,1118.825
SK,5A,185.533
NC,5A,1794.0
AZ,5A,1.113
5J,TW,3003.854
SI,5A,240.508
2W,5A,0.01
1C,5A,25603.701
PT,5A,-4.887
SM,5A,71.384
NG,5A,195.0
BB,5A,0.063
2Z,5A,3511.874
PS,5A,1.0
MH,5A,186.666
SL,5A,0.148
NE,5A,2.695
BA,5A,86.984
PL,5A,169.419
MG,5A,8.36
RS,5A,0.003
MR,5A,6.38
VA,5A,0.199
SD,5A,0.322
MX,5A,8.184
AR,5A,3.042
RO,5A,1.016
MO,5A,35.211
ER,5A,0.001
UZ,5A,255.74
SC,5A,12.45
AO,5A,1.007
QA,5A,76.079
MN,5A,65.522
VE,5A,78.34
SG,5A,1344.81
MZ,5A,54.735
AU,5A,118.568
PY,5A,1.0
MM,5A,32.35
SE,5A,1695.405
MY,5A,278.256
AT,5A,578.053
5J,5A,1001316.825
BW,5A,13.0
UG,5A,1159.988
RU,5A,605.522
MT,5A,1427.142
AL,5A,113.698
PG,5A,16.706
UA,5A,967.403
RS,5A,55.706
PF,5A,0.347
SZ,5A,0.001
PE,5A,24.269
SA,5A,890.394
2R,5A,-3.379
US,5A,2864.593
RW,5A,5.996
MU,5A,101.816
SY,5A,0.002
PA,5A,247.899
5J,5A,18259.258
TT,5A,140.608
PY,5A,45.394
AD,5A,2.647
2N,5A,778.267
KM,5A,93.855
TM,5A,-1.0
TR,5A,4084.375
ML,5A,68.0
5R,5A,44410.047
FK,5A,0.003
PL,5A,59.273
5J,TW,5.12
TZ,5A,1043.461
RO,5A,252.536
MO,5A,3000.897
AF,5A,0.436
AG,5A,1.187
TH,5A,2.394
PK,5A,120.198
TW,5A,0.486
QA,5A,452.207
AE,5A,39.696
TG,5A,-0.988
PH,5A,781.62
5J,GR,767.456
PL,5A,887.602
MG,5A,7.0
SN,5A,0.015
NI,5A,-1.0
NL,5A,875.259
TH,5A,0.001
PK,5A,10.639
ME,5A,68.028
NG,5A,59.795
5J,GR,29227.637
TN,5A,1571.724
PT,5A,1997.54
MK,5A,202.456
5M,5A,137.248
SL,5A,3.0
NE,5A,1.0
TM,5A,117.0
PS,5A,1.64
MH,5A,1.0
5K,5A,39942.669
SK,5A,-1.0
PF,5A,126.821
LY,5A,14.0
5J,TW,11889.698
5J,TW,14898.672
OM,5A,67.205
PE,5A,102.3
LV,5A,1331.728
NZ,5A,178.486
TG,5A,206.017
PH,5A,56.821
NP,5A,7.334
TD,5A,106.0
PG,5A,3.689
MA,5A,718.715
2C,5A,4.28
NO,5A,4.152
DO,5A,0.12
TW,5A,3669.397
MN,5A,25.706
CA,5A,98.001
DM,5A,-1.0
TT,5A,223.469
MM,5A,112.717
FJ,5A,-0.002
TR,5A,105.334
ML,5A,283.023
FI,5A,2.046
BZ,5A,4.348
TG,5A,15.0
EC,5A,2.601
TN,5A,0.219
MK,5A,3.495
TD,5A,1.0
DZ,5A,0.043
ZW,5A,4.662
DE,5A,11001.935
US,5A,2226.809
MU,5A,414.703
GB,5A,97.998
CH,5A,293.941
ZM,5A,6.414
5C,5A,1847463.792
UG,5A,563.835
MT,5A,251.506
GA,5A,-0.998
ZA,5A,229.18
CZ,5A,128.68
4Y,5A,64188.951
DK,5A,3229.609
UA,5A,5.665
MR,5A,150.114
FR,5A,25.327
SX,5A,2.0
DJ,5A,1.0
TZ,5A,345.303
MO,5A,3584.263
CV,5A,5.059
TD,5A,175.283
MA,5A,39.009
DZ,5A,0.175
BO,5A,1.0
VU,5A,3.021
CU,5A,-0.962
4T,5A,311693.802
LY,5A,1.521
DO,5A,-1.003
BN,5A,43.248
LV,5A,13.438
BM,5A,185.132
CY,5A,4.357
4W,5A,95585.731
SY,5A,72.492
LU,5A,5900.34
DK,5A,745.687
YE,5A,0.212
SN,5A,108.26
CW,5A,15.188
4U,5A,37937.911
TM,5A,0.432
MH,5A,97.365
ES,5A,6.393
VE,5A,225.701
SG,5A,45939.359
CO,5A,0.884
VC,5A,0.468
SE,5A,28576.73
CN,5A,4392.75
5J,5A,59913.768
TJ,5A,339.535
MG,5A,222.034
EG,5A,-1.001
BS,5A,505.16
VN,5A,78.838
SK,5A,9052.288
TH,5A,818.559
ME,5A,4.345
BR,5A,791.839
2Z,GR,14.235
VG,5A,1.603
SI,5A,1118.51
CR,5A,0.163
1C,5A,752.419
TG,5A,229.696
MD,5A,1.817
EC,5A,0.001
UY,5A,106.318
SA,5A,272.146
CI,5A,1271.919
ZM,5A,743.841
NP,5A,292.211
HK,5A,93.039
US,5A,5828.618
RW,5A,1.0
CH,5A,159.812
ZA,5A,110.538
NO,5A,11396.04
CZ,5A,6.553
NL,5A,1326.828
GT,5A,0.032
CY,5A,79.28
VA,5A,0.079
CM,5A,1.777
YE,5A,58.447
NI,5A,0.172
GR,5A,-2.998
CW,5A,-1.0
UZ,5A,22.992
CL,5A,4.131
TZ,5A,13.519
RO,5A,3537.857
CD,5A,9.759
PE,5A,389.033
HU,5A,0.264
5J,US,485560.0
TW,5A,77.834
QA,5A,7843.687
CA,5A,352.794
5J,US,485560.0
PA,5A,221.04
HT,5A,1.004
DK,5A,-0.062
UG,5A,9.548
RU,5A,268.354
CG,5A,1.025
OM,5A,297.356
UA,5A,92.272
RS,5A,872.7
CF,5A,-1.0
ZW,5A,1.0
NZ,5A,6438.191
HN,5A,1.0
DE,5A,175.851
TN,5A,73.071
PT,5A,30732.873
BY,5A,0.293
MY,5A,9949.941
GH,5A,-0.997
CN,5A,4604.676
TM,5A,0.002
PS,5A,10.0
BT,5A,9.324
VA,5A,0.209
MX,5A,3761.618
UZ,5A,775.878
MW,5A,201.153
CL,5A,14.98
TT,5A,3.009
4L,5A,106287.819
UY,5A,2.48
MV,5A,208.007
GD,5A,0.001
CI,5A,2.539
TR,5A,316.442
BZ,5A,7.298
TG,5A,8.686
PH,5A,8.034
WS,5A,247.281
NG,5A,983.055
GQ,5A,-1.0
TD,5A,5.001
BO,5A,0.03
VN,5A,314.799
NC,5A,7.044
VU,5A,146.3
NE,5A,170.97
GN,5A,-0.986
CU,5A,0.208
FK,5A,1.0
TJ,5A,0.096
PL,5A,9225.811
BS,5A,26.248
VG,5A,-2.0
CR,5A,0.108
TH,5A,247.243
PK,5A,11.494
BR,5A,10.259
VE,5A,0.908
MZ,5A,763.599
GI,5A,-2.0
CO,5A,-0.101
IL,5A,34.661
BQ,5A,9.326
RS,5A,199.932
JO,5A,0.025
FR,5A,193.913
IE,5A,1106.456
BO,5A,730.606
2C,5A,7.0
RO,5A,424.358
JM,5A,-0.976
QA,5A,517.926
JE,5A,6.001
FK,5A,0.064
IN,5A,242.488
BS,5A,783.317
2H,5A,34.002
PY,5A,2.394
IT,5A,2.176
FJ,5A,0.181
AG,5A,0.179
IM,5A,8.886
BR,5A,11526.376
BJ,5A,2140.822
3C,5A,2456.818
ER,5A,130.961
SC,5A,55.603
KH,5A,-0.002
HR,5A,18.642
BI,5A,2.827
SA,5A,1342.346
HN,5A,0.013
BH,5A,187.942
ID,5A,473.524
BN,5A,6.909
RW,5A,343.871
KE,5A,5.999
GB,5A,1609.429
HU,5A,933.682
BM,5A,3420.669
BW,5A,-0.993
RU,5A,274.823
JP,5A,2.324
GT,5A,0.47
BE,5A,127511.085
PK,5A,5045.622
IM,5A,3.0
EE,5A,-1.0
GR,5A,195.297
BD,5A,1378.097
PH,5A,759.721
IL,5A,1.8
EC,5A,0.335
PG,5A,660.193
IE,5A,16.058
DZ,5A,182.0
HK,5A,7521.541
BG,5A,2362.871
PF,5A,1.234
ID,5A,1.41
DO,5A,1.036
ZA,5A,262.834
GW,5A,0.01
BF,5A,493.547
IS,5A,-0.988
VN,5A,50.336
GM,5A,18.529
AZ,5A,767.674
PT,5A,159.153
IR,5A,1.004
VG,5A,1.0
GL,5A,0.005
AW,5A,38.749
2W,5A,-0.173
BB,5A,71.042
2Z,5A,488.834
2B,5A,49.002
PS,5A,0.285
IQ,5A,1.0
ES,5A,18.396
GN,5A,602.364
BA,5A,325.698
PL,5A,4926.771
IN,5A,55.829
EG,5A,233.623
SX,5A,30.171
LT,5A,-1.0
HR,5A,1.0
GY,5A,2.501
GG,5A,0.383
AR,5A,643.174
ER,5A,0.016
UZ,5A,1.0
GE,5A,1.626
AO,5A,5070.53
SV,5A,1.834
LR,5A,1.0
HN,5A,0.722
VE,5A,1.0
GI,5A,1.086
AU,5A,2349.587
LK,5A,1.004
HK,5A,6479.142
LI,5A,-0.002
GH,5A,174.817
AT,5A,71838.178
BW,5A,6.476
UG,5A,34.224
AL,5A,657.542
2O,5A,-0.01
TD,5A,175.402
MA,5A,-0.984
IE,5A,699.355
UA,5A,8.935
FR,5A,7791.772
AI,5A,10.765
TC,5A,0.891
LY,5A,23.0
ID,5A,2850.22
WF,5A,17.0
UY,5A,0.011
2R,5A,-0.01
SZ,5A,40.297
HU,5A,11.926
US,5A,58340.558
GB,5A,1539.674
AM,5A,437.593
SY,5A,73.227
LU,5A,-0.979
FJ,5A,3.846
AD,5A,354.218
2N,5A,-0.006
SI,5A,1.718
KW,5A,0.113
TR,5A,2795.096
FI,5A,154.33
5R,5A,2126996.33
SG,5A,22381.978
KR,5A,25.418
GI,5A,0.728
SE,5A,26400.96
GH,5A,6.822
TZ,5A,1.0
FO,5A,0.016
AF,5A,2.56
GY,5A,239.12
SD,5A,8.38
KN,5A,1.0
GG,5A,297.436
SO,5A,2.0
TW,5A,873.053
AE,5A,5582.418
EG,5A,97.282
2H,5A,-0.002
SR,5A,292.737
GT,5A,-0.981
TH,5A,449.352
EE,5A,359.83
SN,5A,611.586
LB,5A,0.002
GR,5A,41.916
TN,5A,77.0
ET,5A,0.132
5M,5A,3397.311
SL,5A,49.422
KZ,5A,5.0
SM,5A,0.059
ES,5A,605.023
5K,5A,2020711.89
SK,5A,168.442
KY,5A,114.28
5J,5A,9771.656
5J,BE,9099.509
5J,GR,17498.816
5J,GR,47493.909
5J,CH,396741.067
5J,CH,2310186.84
1C,CH,789.343
5J,BE,206157.414
5J,BE,215256.923
1W,CH,0.001
5J,BE,1333.651
5J,CH,1913445.387
5J,CH,0.386
2Z,CH,18258.954
5J,IE,13130.847
5J,5A,3147.935
5J,IE,13692.259
5J,IE,561.412
5J,5A,1371.789
5J,5A,57.078
BA,CH,12.799
AZ,CH,138.486
BE,CH,4470.614
BD,CH,136.221
5J,5A,45.827
BB,CH,117.143
BG,CH,254.394
BF,CH,1.353
BI,CH,16.258
BH,CH,845.476
AM,CH,15.047
AL,CH,9.671
AO,CH,131.619
5J,ZA,122.0
AT,CH,2598.765
AR,CH,433.057
AW,CH,5.782
AU,CH,4647.027
5J,ZA,2087.0
5J,ZA,2209.0
AE,CH,12106.247
AD,CH,194.373
AF,CH,0.288
5J,BS,8.0
CY,CH,2788.07
CW,CH,433.09
CV,CH,0.02
CZ,CH,758.753
DJ,CH,5.311
DE,CH,24207.575
5J,5A,1973.26
DM,CH,2.488
DK,CH,431.06
CL,CH,897.997
5J,5A,62.523
CI,CH,55.31
CN,CH,1371.717
5J,CH,240172.558
5J,BS,579.5
5J,BS,587.5
CM,CH,54.047
CR,CH,112.06
1C,CH,789.343
CO,CH,191.479
CU,CH,0.03
BZ,CH,220.924
BY,CH,72.953
CA,CH,1202.639
CF,CH,1.099
CD,CH,43.244
CG,CH,6.539
BM,CH,1010.215
BJ,CH,86.143
BO,CH,50.635
BN,CH,105.969
BR,CH,1084.698
BQ,CH,1.414
BS,CH,4719.932
HK,CH,4976.811
GT,CH,97.784
HR,CH,49.365
5J,MO,3460.505
HN,CH,9.26
HU,CH,240.887
HT,CH,0.038
IE,CH,2317.184
ID,CH,288.776
BW,5A,3.0
GH,CH,101.217
GG,CH,6734.034
GL,CH,0.002
1W,CH,0.001
GI,CH,1330.374
GN,CH,5.001
GM,CH,0.004
GR,CH,962.144
GQ,CH,4.187
FM,CH,91.606
FJ,CH,1.66
FR,CH,24177.898
FK,5A,0.001
GB,CH,55967.75
GA,CH,3.299
GE,CH,49.523
GD,CH,128.33
DZ,CH,50.678
ZM,5A,18.933
5J,IE,8737.678
DO,CH,56.93
ZA,5A,6.696
EE,CH,67.938
EC,CH,109.369
ZW,5A,1.034
ES,CH,3738.331
WS,5A,121.441
EG,CH,1351.01
FI,CH,208.405
ET,CH,31.591
LT,CH,44.112
LR,CH,2688.672
LV,CH,107.79
LU,CH,17473.99
MA,CH,202.76
LY,CH,17.145
SB,5A,0.035
ME,CH,38.283
MD,CH,0.033
KW,CH,1593.234
KR,CH,59.617
5J,5A,37493.988
KZ,CH,265.363
5J,CY,645.504
5J,CY,168.465
KY,CH,10341.966
LB,CH,1313.581
LA,CH,1.26
2Z,CH,18163.155
LK,CH,9.715
LC,CH,18.823
JO,CH,521.284
JM,CH,3.098
KE,CH,372.521
JP,CH,16757.403
KH,CH,6.63
KG,CH,1.242
IM,CH,2238.185
IL,CH,3108.144
IQ,CH,3.196
IN,CH,399.893
IS,CH,13.53
IR,CH,0.637
JE,CH,9532.103
IT,CH,7470.449
PE,CH,512.137
PA,CH,3412.935
PG,CH,5.525
PF,CH,38.507
PK,CH,174.126
PH,CH,89.339
PS,CH,12.689
PL,CH,1129.714
NE,CH,0.02
NC,CH,1.159
NI,CH,1.494
NG,CH,324.303
NO,CH,318.994
NL,CH,6012.074
OM,CH,404.799
NZ,CH,315.675
NP,CH,1.371
MU,CH,587.617
MT,CH,1659.814
MW,CH,0.906
MV,CH,2.225
MY,CH,504.37
MX,CH,2754.661
MZ,CH,28.025
MH,CH,3743.62
MG,CH,15.319
ML,CH,6.633
MK,CH,6.5
MN,CH,3.798
MM,CH,0.111
MR,CH,10.083
MO,CH,84.325
TD,CH,0.001
BO,CH,50.572
TC,CH,99.127
BN,CH,5.97
TH,CH,510.439
BR,CH,831.51
TG,CH,8.303
BQ,CH,1.414
TM,CH,50.138
TJ,CH,0.752
BS,CH,3692.256
TR,CH,2743.242
BZ,CH,220.924
TN,CH,19.758
BY,CH,0.026
SN,CH,47.261
BD,CH,24.156
SM,CH,16.915
BB,CH,117.14
ST,CH,2.607
BF,CH,0.045
SR,CH,1.772
BE,CH,3385.339
SX,CH,1.104
BI,CH,16.258
SV,CH,15.608
BH,CH,734.537
BG,CH,249.416
SZ,CH,0.224
BM,CH,1010.183
SY,CH,0.35
BJ,CH,0.513
SC,CH,353.279
AO,CH,129.33
SA,CH,3086.498
SE,CH,834.658
AT,CH,1844.205
SD,CH,0.828
AR,CH,427.224
SI,CH,82.059
AW,CH,5.782
SG,CH,7248.829
AU,CH,1120.132
SL,CH,0.511
BA,CH,12.747
SK,CH,274.094
AZ,CH,135.842
PT,CH,1425.69
QA,CH,9008.206
AE,CH,11324.894
PY,CH,246.153
AD,CH,193.519
RS,CH,216.954
RO,CH,236.365
AF,CH,0.288
RW,CH,18.409
AM,CH,7.626
RU,CH,672.532
AL,CH,9.149
EE,CH,67.878
2O,5A,210.976
EC,CH,109.369
ES,CH,2619.66
EG,CH,1084.3
FI,CH,195.634
ET,CH,31.591
FM,CH,91.606
2R,5A,-0.003
FJ,CH,1.554
ZA,CH,265.999
CZ,CH,652.278
5J,BH,374.0
5J,BH,377.0
CY,CH,2782.944
ZW,CH,37.949
DE,CH,13654.514
ZM,CH,63.139
DM,CH,2.488
DK,CH,192.076
DJ,CH,5.311
DZ,CH,10.41
DO,CH,56.541
VC,CH,118.325
CN,CH,437.708
VA,CH,0.011
CM,CH,2.199
CR,CH,111.492
VE,CH,335.281
CO,CH,181.161
VU,CH,2.712
CU,CH,0.03
VN,CH,256.936
YE,CH,0.243
CW,CH,433.09
3C,5A,8467.859
WS,CH,42.278
CV,CH,0.02
TW,CH,1337.119
CA,CH,713.265
TT,CH,7.421
1C,5A,0.819
UA,CH,221.391
CF,CH,1.099
TZ,CH,65.987
CD,CH,43.244
5J,5A,601.471
5J,5A,57709.921
US,CH,80568.868
UG,CH,19.169
CG,CH,6.539
2Z,5A,2757.161
UZ,CH,417.174
CL,CH,343.864
UY,CH,718.355
CI,CH,15.498
KM,CH,4.804
IQ,CH,3.148
IN,CH,36.712
IS,CH,10.565
IR,CH,0.637
SO,CH,0.002
JE,CH,3536.635
IT,CH,6480.557
5J,5A,876945.947
JO,CH,320.457
5J,IE,10456.991
JM,CH,2.89
HN,CH,9.26
HK,CH,2694.935
HU,CH,221.681
HT,CH,0.038
5J,PH,223.837
5J,PH,223.84
HR,CH,49.152
IE,CH,1452.157
ID,CH,233.191
IM,CH,2238.185
4L,5A,188138.003
IL,CH,3014.648
GL,CH,0.002
3C,5A,14.956
GI,CH,407.466
GN,CH,2.011
5J,5A,1273.932
GM,CH,0.004
GR,CH,955.515
GQ,CH,4.187
GT,CH,18.667
FR,CH,12459.292
2B,5A,-0.005
4T,5A,89908.363
GB,CH,15814.183
BW,CH,6.02
GA,CH,3.299
5J,IE,189946.971
5J,IE,200403.962
1W,5A,0.674
1C,5A,8.0
5C,5A,37024.718
GE,CH,49.264
4Y,5A,42144.093
GD,CH,128.33
4W,5A,9150.592
GH,CH,90.302
4U,5A,30145.819
GG,CH,5430.405
ML,CH,6.633
MK,CH,6.491
MN,CH,3.798
MM,CH,0.111
MR,CH,0.084
MO,CH,21.148
MU,CH,576.91
MT,CH,1659.807
LU,CH,12245.35
LT,CH,44.088
MA,CH,94.485
LY,CH,17.145
LV,CH,107.728
ME,CH,38.283
MD,CH,0.033
MH,CH,3742.639
MG,CH,15.319
KZ,CH,265.363
KY,CH,9470.98
LB,CH,1311.276
LA,CH,1.26
LC,CH,18.823
LR,CH,2688.672
LK,CH,9.626
KE,CH,325.372
TL,CH,0.19
JP,CH,342.458
KH,CH,6.63
KG,CH,1.242
5J,CY,4135.38
5J,CY,4949.349
1C,5A,207.359
5J,5A,1823.92
KW,CH,756.103
KR,CH,14.16
5J,5A,394299.076
QA,CH,8435.349
PY,CH,226.224
RS,CH,216.79
RO,CH,193.928
RW,CH,18.409
RU,CH,242.774
SC,CH,352.792
SA,CH,2786.588
PG,CH,5.525
PF,CH,38.507
PE,CH,440.372
PK,CH,163.479
5J,IE,1719.313
PH,CH,56.745
PS,CH,7.455
PL,CH,1007.937
PT,CH,1361.353
NI,CH,1.494
NG,CH,151.276
NO,CH,81.574
NL,CH,5266.531
5J,BH,4.0
NZ,CH,291.733
5J,BH,-1.0
NP,CH,1.337
PA,CH,3278.285
5J,5A,323.01
OM,CH,397.043
MW,CH,0.906
MV,CH,2.225
5J,5A,29435.383
MY,CH,181.172
MX,CH,2739.606
2B,5A,0.373
MZ,CH,27.405
NE,CH,0.02
NC,CH,1.159
1C,5A,0.01
VU,5A,184.729
UA,CH,139.454
GY,5A,2.602
MX,5A,9584.633
AR,5A,2821.882
VN,5A,35633.874
UZ,5A,49.175
SC,5A,1.108
MW,5A,6.0
AO,5A,16177.914
TZ,CH,25.465
VG,5A,22895.835
US,CH,43636.687
VE,5A,68.836
SG,5A,205.899
